"id";"latitude";"longitude";"cep";"numero";"complemento";"usuario_id"
1;"23.5505";"46.6333";"01001000";1.0;"Apto 1";1
2;"23.5515";"46.6343";"01002000";2.0;"Apto 2";2
3;"23.5525";"46.6353";"01003000";3.0;"Apto 3";3
4;"23.5535";"46.6363";"01004000";4.0;"Apto 4";4
5;"23.5545";"46.6373";"01005000";5.0;"Apto 5";5
6;"23.5555";"46.6383";"01006000";6.0;"Apto 6";6
7;"23.5565";"46.6393";"01007000";7.0;"Apto 7";7
8;"23.5575";"46.6403";"01008000";8.0;"Apto 8";8
9;"23.5585";"46.6413";"01009000";9.0;"Apto 9";9
10;"23.5595";"46.6423";"01010000";10.0;"Apto 10";10
11;"23.5605";"46.6433";"01011000";11.0;"Apto 11";11
12;"23.5615";"46.6443";"01012000";12.0;"Apto 12";12
13;"23.5625";"46.6453";"01013000";13.0;"Apto 13";13
14;"23.5635";"46.6463";"01014000";14.0;"Apto 14";14
15;"23.5645";"46.6473";"01015000";15.0;"Apto 15";15
16;"23.5655";"46.6483";"01016000";16.0;"Apto 16";16
17;"23.5665";"46.6493";"01017000";17.0;"Apto 17";17
18;"23.5675";"46.6503";"01018000";18.0;"Apto 18";18
19;"23.5685";"46.6513";"01019000";19.0;"Apto 19";19
20;"23.5695";"46.6523";"01020000";20.0;"Apto 20";20
21;"23.5705";"46.6533";"01021000";21.0;"Apto 21";6
22;"23.5715";"46.6543";"01022000";22.0;"Apto 22";7
23;"23.5725";"46.6553";"01023000";23.0;"Apto 23";8
24;"23.5735";"46.6563";"01024000";24.0;"Apto 24";9
25;"23.5745";"46.6573";"01025000";25.0;"Apto 25";10
26;"23.5755";"46.6583";"01026000";26.0;"Apto 26";6
27;"23.5765";"46.6593";"01027000";27.0;"Apto 27";7
28;"23.5775";"46.6603";"01028000";28.0;"Apto 28";11
29;"23.5785";"46.6613";"01029000";29.0;"Apto 29";12
30;"23.5795";"46.6623";"01030000";30.0;"Apto 30";13
31;"";"";"02560150";0.0;"";32
32;"";"";"02063000";0.0;"";32
33;"";"";"02515040";0.0;"";32
34;"";"";"01218020";0.0;"";32
35;"";"";"01231010";0.0;"";32
36;"";"";"02518120";0.0;"";32
37;"";"";"02034006";0.0;"";32
38;"";"";"02408030";0.0;"";32
39;"";"";"02071013";0.0;"";32
40;"";"";"01154000";0.0;"";32
41;"";"";"01311000";0.0;"";32
42;"";"";"01132010";0.0;"";32
43;"";"";"01503000";0.0;"";32
44;"";"";"05013001";0.0;"";32
45;"";"";"02051050";0.0;"";32
46;"";"";"03012050";0.0;"";32
47;"";"";"02084030";0.0;"";32
48;"";"";"02055001";0.0;"";32
49;"";"";"02531000";0.0;"";32
50;"";"";"02723000";0.0;"";32
51;"";"";"02545000";0.0;"";32
52;"";"";"05037030";0.0;"";32
